"","Title","Genre","Revenue (Millions)","Rating"
"495","Super 8","Other",126.98,7.1
"496","Law Abiding Citizen","Crime",73.34,7.4
"497","Up","Animation",292.98,8.3
"498","Maze Runner: The Scorch Trials","Action",81.69,6.3
"499","Carol","Other",0.25,7.2
"500","Imperium","Crime",NA,6.5
"501","Youth","Comedy",2.7,7.3
"502","Mr. Nobody","Other",NA,7.9
"503","City of Tiny Lights","Crime",NA,5.7
"504","Savages","Crime",47.31,6.5
"505","(500) Days of Summer","Comedy",32.39,7.7
"506","Movie 43","Comedy",8.83,4.3
"507","Gravity","Other",274.08,7.8
"508","The Boy in the Striped Pyjamas","Other",9.03,7.8
"509","Shooter","Action",46.98,7.2
"510","The Happening","Sci-Fi",64.51,5
"511","Bone Tomahawk","Adventure",66.01,7.1
"512","Magic Mike XXL","Comedy",NA,5.7
"513","Easy A","Comedy",58.4,7.1
"514","Exodus: Gods and Kings","Action",65.01,6
"515","Chappie","Action",31.57,6.9
"516","The Hobbit: The Desolation of Smaug","Adventure",258.36,7.9
"517","Half of a Yellow Sun","Other",0.05,6.2
"518","Anthropoid","Other",2.96,7.2
"519","The Counselor","Crime",16.97,5.3
"520","Viking","Action",23.05,4.7
"521","Whiskey Tango Foxtrot","Other",NA,6.6
"522","Trust","Crime",0.06,7
"523","Birth of the Dragon","Action",93.05,3.9
"524","Elysium","Action",NA,6.6
"525","The Green Inferno","Adventure",7.19,5.4
"526","Godzilla","Action",200.66,6.4
"527","The Bourne Legacy","Action",113.17,6.7
"528","A Good Year","Comedy",7.46,6.9
"529","Friend Request","Horror",64.03,5.4
"530","Deja Vu","Action",NA,7
"531","Lucy","Action",126.55,6.4
"532","A Quiet Passion","Other",1.08,7.2
"533","Need for Speed","Action",43.57,6.5
"534","Jack Reacher","Action",58.68,7
"535","The Do-Over","Action",0.54,5.7
"536","True Crimes","Crime",NA,7.3
"537","American Pastoral","Crime",NA,6.1
"538","The Ghost Writer","Other",15.52,7.2
"539","Limitless","Other",79.24,7.4
"540","Spectral","Action",NA,6.3
"541","P.S. I Love You","Other",53.68,7.1
"542","Zipper","Other",NA,5.7
"543","Midnight Special","Other",3.71,6.7
"544","Don't Think Twice","Comedy",4.42,6.8
"545","Alice in Wonderland","Adventure",334.19,6.5
"546","Chuck","Other",0.11,6.8
"547","I, Daniel Blake","Other",NA,7.9
"548","The Break-Up","Comedy",118.68,5.8
"549","Loving","Other",7.7,7.1
"550","Fantastic Four","Action",56.11,4.3
"551","The Survivalist","Other",NA,6.3
"552","Colonia","Other",NA,7.1
"553","The Boy Next Door","Other",35.39,4.6
"554","The Gift","Other",43.77,7.1
"555","Dracula Untold","Action",55.94,6.3
"556","In the Heart of the Sea","Action",24.99,6.9
"557","Idiocracy","Adventure",0.44,6.6
"558","The Expendables","Action",102.98,6.5
"559","Evil Dead","Fantasy",54.24,6.5
"560","Sinister","Horror",48.06,6.8
"561","Wreck-It Ralph","Animation",189.41,7.8
"562","Snow White and the Huntsman","Action",155.11,6.1
"563","Pan","Adventure",34.96,5.8
"564","Transformers: Dark of the Moon","Action",352.36,6.3
"565","Juno","Comedy",143.49,7.5
"566","A Hologram for the King","Comedy",4.2,6.1
"567","Money Monster","Crime",41.01,6.5
"568","The Other Woman","Comedy",83.91,6
"569","Enchanted","Animation",127.71,7.1
"570","The Intern","Comedy",75.27,7.1
"571","Little Miss Sunshine","Comedy",59.89,7.8
"572","Bleed for This","Other",4.85,6.8
"573","Clash of the Titans","Action",163.19,5.8
"574","The Finest Hours","Action",27.55,6.8
"575","Tron","Action",172.05,6.8
"576","The Hunger Games: Catching Fire","Action",424.65,7.6
"577","All Good Things","Crime",0.58,6.3
"578","Kickboxer: Vengeance","Action",131.56,4.9
"579","The Last Airbender","Action",NA,4.2
"580","Sex Tape","Comedy",38.54,5.1
"581","What to Expect When You're Expecting","Comedy",41.1,5.7
"582","Moneyball","Other",75.61,7.6
"583","Ghost Rider","Action",115.8,5.2
"584","Unbroken","Other",115.6,7.2
"585","Immortals","Action",83.5,6
"586","Sunshine","Adventure",3.68,7.3
"587","Brave","Animation",237.28,7.2
"588","Män som hatar kvinnor","Other",10.1,7.8
"589","Adoration","Other",0.32,6.2
"590","The Drop","Crime",10.72,7.1
"591","She's the Man","Comedy",2.34,6.4
"592","Daddy's Home","Comedy",150.32,6.1
"593","Let Me In","Other",12.13,7.2
"594","Never Back Down","Action",24.85,6.6
"595","Grimsby","Action",6.86,6.2
"596","Moon","Other",5.01,7.9
"597","Megamind","Animation",148.34,7.3
"598","Gangster Squad","Action",46,6.7
"599","Blood Father","Action",93.95,6.4
"600","He's Just Not That Into You","Comedy",NA,6.4
"601","Kung Fu Panda 3","Animation",143.52,7.2
"602","The Rise of the Krays","Crime",6.53,5.1
"603","Handsome Devil","Other",NA,7.4
"604","Winter's Bone","Other",NA,7.2
"605","Horrible Bosses","Comedy",117.53,6.9
"606","Mommy","Other",3.49,8.1
"607","Hellboy II: The Golden Army","Action",75.75,7
"608","Beautiful Creatures","Other",19.45,6.2
"609","Toni Erdmann","Comedy",1.48,7.6
"610","The Lovely Bones","Other",43.98,6.7
"611","The Assassination of Jesse James by the Coward Robert Ford","Other",3.9,7.5
"612","Don Jon","Comedy",24.48,6.6
"613","Bastille Day","Action",0.04,6.3
"614","2307: Winter's Dream","Sci-Fi",20.76,4
"615","Free State of Jones","Action",NA,6.9
"616","Mr. Right","Action",0.03,6.3
"617","The Secret Life of Walter Mitty","Adventure",58.23,7.3
"618","Dope","Comedy",17.47,7.3
"619","Underworld Awakening","Action",62.32,6.4
"620","Antichrist","Other",0.4,6.6
"621","Friday the 13th","Horror",65,5.6
"622","Taken 3","Action",89.25,6
"623","Total Recall","Action",58.88,6.3
"624","X-Men: The Last Stand","Action",234.36,6.7
"625","The Escort","Comedy",NA,6
"626","The Whole Truth","Crime",NA,6.1
"627","Night at the Museum: Secret of the Tomb","Adventure",113.73,6.2
"628","Love & Other Drugs","Comedy",32.36,6.7
"629","The Interview","Comedy",6.11,6.6
"630","The Host","Comedy",2.2,7
"631","Megan Is Missing","Other",NA,4.9
"632","WALL·E","Animation",223.81,8.4
"633","Knocked Up","Comedy",148.73,7
"634","Source Code","Other",54.7,7.5
"635","Lawless","Crime",37.4,7.3
"636","Unfriended","Other",31.54,5.6
"637","American Reunion","Comedy",56.72,6.7
"638","The Pursuit of Happyness","Other",162.59,8
"639","Relatos salvajes","Comedy",3.08,8.1
"640","The Ridiculous 6","Comedy",NA,4.8
"641","Frantz","Other",0.86,7.5
"642","Viral","Other",NA,5.5
"643","Gran Torino","Other",148.09,8.2
"644","Burnt","Comedy",13.65,6.6
"645","Tall Men","Fantasy",NA,3.2
"646","Sleeping Beauty","Other",0.03,5.3
"647","Vampire Academy","Action",7.79,5.6
"648","Sweeney Todd: The Demon Barber of Fleet Street","Other",52.88,7.4
"649","Solace","Crime",NA,6.4
"650","Insidious","Horror",53.99,6.8
"651","Popstar: Never Stop Never Stopping","Comedy",9.39,6.7
"652","The Levelling","Other",NA,6.4
"653","Public Enemies","Other",97.03,7
"654","Boyhood","Other",25.36,7.9
"655","Teenage Mutant Ninja Turtles","Action",190.87,5.9
"656","Eastern Promises","Crime",17.11,7.7
"657","The Daughter","Other",0.03,6.7
"658","Pineapple Express","Action",87.34,7
"659","The First Time","Comedy",0.02,6.9
"660","Gone Baby Gone","Crime",20.3,7.7
"661","The Heat","Action",159.58,6.6
"662","L'avenir","Other",0.28,7.1
"663","Anna Karenina","Other",12.8,6.6
"664","Regression","Crime",0.05,5.7
"665","Ted 2","Adventure",81.26,6.3
"666","Pain & Gain","Comedy",49.87,6.5
"667","Blood Diamond","Adventure",57.37,8
"668","Devil's Knot","Other",NA,6.1
"669","Child 44","Crime",1.21,6.5
"670","The Hurt Locker","Other",15.7,7.6
"671","Green Lantern","Action",116.59,5.6
"672","War on Everyone","Action",NA,5.9
"673","The Mist","Horror",25.59,7.2
"674","Escape Plan","Action",25.12,6.7
"675","Love, Rosie","Comedy",0.01,7.2
"676","The DUFF","Comedy",34.02,6.5
"677","The Age of Shadows","Action",0.54,7.2
"678","The Hunger Games: Mockingjay - Part 1","Action",337.1,6.7
"679","We Need to Talk About Kevin","Other",1.74,7.5
"680","Love & Friendship","Comedy",14.01,6.5
"681","The Mortal Instruments: City of Bones","Action",31.17,5.9
"682","Seven Pounds","Other",69.95,7.7
"683","The King's Speech","Other",138.8,8
"684","Hunger","Other",0.15,7.6
"685","Jumper","Action",80.17,6.1
"686","Toy Story 3","Animation",414.98,8.3
"687","Tinker Tailor Soldier Spy","Other",24.1,7.1
"688","Resident Evil: Retribution","Action",42.35,5.4
"689","Dear Zindagi","Other",1.4,7.8
"690","Genius","Other",1.36,6.5
"691","Pompeii","Action",23.22,5.5
"692","Life of Pi","Adventure",124.98,7.9
"693","Hachi: A Dog's Tale","Other",NA,8.1
"694","10 Years","Comedy",0.2,6.1
"695","I Origins","Other",0.33,7.3
"696","Live Free or Die Hard","Action",134.52,7.2
"697","The Matchbreaker","Comedy",NA,5.5
"698","Funny Games","Crime",1.29,6.5
"699","Ted","Comedy",218.63,7
"700","RED","Action",90.36,7.1
"701","Australia","Adventure",49.55,6.6
"702","Faster","Action",23.23,6.5
"703","The Neighbor","Crime",NA,5.8
"704","The Adjustment Bureau","Other",62.45,7.1
"705","The Hollars","Comedy",1.02,6.5
"706","The Judge","Crime",47.11,7.4
"707","Closed Circuit","Crime",5.73,6.2
"708","Transformers: Revenge of the Fallen","Action",402.08,6
"709","La tortue rouge","Animation",0.92,7.6
"710","The Book of Life","Animation",50.15,7.3
"711","Incendies","Other",6.86,8.2
"712","The Heartbreak Kid","Comedy",36.77,5.8
"713","Happy Feet","Animation",197.99,6.5
"714","Entourage","Comedy",32.36,6.6
"715","The Strangers","Horror",52.53,6.2
"716","Noah","Action",101.16,5.8
"717","Neighbors","Comedy",150.06,6.4
"718","Nymphomaniac: Vol. II","Other",0.33,6.7
"719","Wild","Adventure",37.88,7.1
"720","Grown Ups","Comedy",162,6
"721","Blair Witch","Horror",20.75,5.1
"722","The Karate Kid","Action",176.59,6.2
"723","Dark Shadows","Comedy",79.71,6.2
"724","Friends with Benefits","Comedy",55.8,6.6
"725","The Illusionist","Other",39.83,7.6
"726","The A-Team","Action",77.21,6.8
"727","The Guest","Other",0.32,6.7
"728","The Internship","Comedy",44.67,6.3
"729","Paul","Adventure",37.37,7
"730","This Beautiful Fantastic","Comedy",NA,6.9
"731","The Da Vinci Code","Other",217.54,6.6
"732","Mr. Church","Comedy",0.69,7.7
"733","Hugo","Adventure",73.82,7.5
"734","The Blackcoat's Daughter","Horror",0.02,5.6
"735","Body of Lies","Action",39.38,7.1
"736","Knight of Cups","Other",0.56,5.7
"737","The Mummy: Tomb of the Dragon Emperor","Action",102.18,5.2
"738","The Boss","Comedy",63.03,5.4
"739","Hands of Stone","Action",4.71,6.6
"740","El secreto de sus ojos","Other",20.17,8.2
"741","True Grit","Adventure",171.03,7.6
"742","We Are Your Friends","Other",3.59,6.2
"743","A Million Ways to Die in the West","Comedy",42.62,6.1
"744","Only for One Night","Other",NA,4.6
"745","Rules Don't Apply","Comedy",3.65,5.7
"746","Ouija: Origin of Evil","Horror",34.9,6.1
"747","Percy Jackson: Sea of Monsters","Adventure",68.56,5.9
"748","Fracture","Crime",39,7.2
"749","Oculus","Horror",27.69,6.5
"750","In Bruges","Comedy",7.76,7.9
"751","This Means War","Action",54.76,6.3
"752","Lída Baarová","Other",NA,5
"753","The Road","Adventure",0.06,7.3
"754","Lavender","Other",NA,5.2
"755","Deuces","Other",NA,6.6
"756","Conan the Barbarian","Action",21.27,5.2
"757","The Fighter","Action",93.57,7.8
"758","August Rush","Other",31.66,7.5
"759","Chef","Comedy",31.24,7.3
"760","Eye in the Sky","Other",18.7,7.3
"761","Eagle Eye","Action",101.11,6.6
"762","The Purge","Horror",64.42,5.7
"763","PK","Comedy",10.57,8.2
"764","Ender's Game","Action",61.66,6.7
"765","Indiana Jones and the Kingdom of the Crystal Skull","Action",317.01,6.2
"766","Paper Towns","Other",31.99,6.3
"767","High-Rise","Other",0.34,5.7
"768","Quantum of Solace","Action",168.37,6.6
"769","The Assignment","Action",NA,4.5
"770","How to Train Your Dragon","Animation",217.39,8.1
"771","Lady in the Water","Other",42.27,5.6
"772","The Fountain","Other",10.14,7.3
"773","Cars 2","Animation",191.45,6.2
"774","31","Horror",0.78,5.1
"775","Final Girl","Action",NA,4.7
"776","Chalk It Up","Comedy",NA,4.8
"777","The Man Who Knew Infinity","Other",3.86,7.2
"778","Unknown","Action",61.09,6.9
"779","Self/less","Action",12.28,6.5
"780","Mr. Brooks","Crime",28.48,7.3
"781","Tramps","Comedy",NA,6.5
"782","Before We Go","Comedy",0.04,6.9
"783","Captain Phillips","Other",107.1,7.8
"784","The Secret Scripture","Other",NA,6.8
"785","Max Steel","Action",3.77,4.6
"786","Hotel Transylvania 2","Animation",169.69,6.7
"787","Hancock","Action",227.95,6.4
"788","Sisters","Comedy",87.03,6
"789","The Family","Comedy",36.92,6.3
"790","Zack and Miri Make a Porno","Comedy",31.45,6.6
"791","Ma vie de Courgette","Animation",0.29,7.8
"792","Man on a Ledge","Action",18.6,6.6
"793","No Strings Attached","Comedy",70.63,6.2
"794","Rescue Dawn","Adventure",5.48,7.3
"795","Despicable Me 2","Animation",368.05,7.4
"796","A Walk Among the Tombstones","Crime",25.98,6.5
"797","The World's End","Action",26,7
"798","Yoga Hosers","Comedy",NA,4.3
"799","Seven Psychopaths","Comedy",14.99,7.2
"800","Beowulf","Animation",82.16,6.2
"801","Jack Ryan: Shadow Recruit","Action",50.55,6.2
"802","1408","Fantasy",71.98,6.8
"803","The Gambler","Crime",33.63,6
"804","Prince of Persia: The Sands of Time","Action",90.76,6.6
"805","The Spectacular Now","Comedy",6.85,7.1
"806","A United Kingdom","Other",3.9,6.8
"807","USS Indianapolis: Men of Courage","Action",NA,5.2
"808","Turbo Kid","Action",0.05,6.7
"809","Mama","Horror",71.59,6.2
"810","Orphan","Horror",41.57,7
"811","To Rome with Love","Comedy",16.68,6.3
"812","Fantastic Mr. Fox","Animation",21,7.8
"813","Inside Man","Crime",88.5,7.6
"814","I.T.","Crime",NA,5.4
"815","127 Hours","Adventure",18.33,7.6
"816","Annabelle","Horror",84.26,5.4
"817","Wolves at the Door","Horror",NA,4.6
"818","Suite Française","Other",NA,6.9
"819","The Imaginarium of Doctor Parnassus","Adventure",7.69,6.8
"820","G.I. Joe: The Rise of Cobra","Action",150.17,5.8
"821","Christine","Other",0.3,7
"822","Man Down","Other",NA,5.8
"823","Crawlspace","Horror",NA,5.3
"824","Shut In","Other",6.88,4.6
"825","The Warriors Gate","Action",NA,5.3
"826","Grindhouse","Action",25.03,7.6
"827","Disaster Movie","Comedy",14.17,1.9
"828","Rocky Balboa","Other",70.27,7.2
"829","Diary of a Wimpy Kid: Dog Days","Comedy",49,6.4
"830","Jane Eyre","Other",11.23,7.4
"831","Fool's Gold","Action",70.22,5.7
"832","The Dictator","Comedy",59.62,6.4
"833","The Loft","Other",5.98,6.3
"834","Bacalaureat","Crime",0.13,7.5
"835","You Don't Mess with the Zohan","Action",100.02,5.5
"836","Exposed","Crime",NA,4.2
"837","Maudie","Other",NA,7.8
"838","Horrible Bosses 2","Comedy",54.41,6.3
"839","A Bigger Splash","Other",1.98,6.4
"840","Melancholia","Other",3.03,7.1
"841","The Princess and the Frog","Animation",104.37,7.1
"842","Unstoppable","Action",81.56,6.8
"843","Flight","Other",93.75,7.3
"844","Home","Animation",177.34,6.7
"845","La migliore offerta","Crime",0.09,7.8
"846","Mean Dreams","Other",NA,6.3
"847","42","Other",95,7.5
"848","21","Crime",81.16,6.8
"849","Begin Again","Other",16.17,7.4
"850","Out of the Furnace","Crime",11.33,6.8
"851","Vicky Cristina Barcelona","Other",23.21,7.1
"852","Kung Fu Panda","Animation",215.4,7.6
"853","Barbershop: The Next Cut","Comedy",54.01,5.9
"854","Terminator Salvation","Action",125.32,6.6
"855","Freedom Writers","Other",36.58,7.5
"856","The Hills Have Eyes","Horror",41.78,6.4
"857","Changeling","Other",35.71,7.8
"858","Remember Me","Other",19.06,7.2
"859","Koe no katachi","Animation",NA,8.4
"860","Alexander and the Terrible, Horrible, No Good, Very Bad Day","Comedy",66.95,6.2
"861","Locke","Other",1.36,7.1
"862","The 9th Life of Louis Drax","Other",NA,6.3
"863","Horns","Other",0.16,6.5
"864","Indignation","Other",3.4,6.9
"865","The Stanford Prison Experiment","Other",0.64,6.9
"866","Diary of a Wimpy Kid: Rodrick Rules","Comedy",52.69,6.6
"867","Mission: Impossible III","Action",133.38,6.9
"868","En man som heter Ove","Comedy",3.36,7.7
"869","Dragonball Evolution","Action",9.35,2.7
"870","Red Dawn","Action",44.8,5.4
"871","One Day","Other",13.77,7
"872","Life as We Know It","Comedy",53.36,6.6
"873","28 Weeks Later","Other",28.64,7
"874","Warm Bodies","Comedy",66.36,6.9
"875","Blue Jasmine","Other",33.4,7.3
"876","G.I. Joe: Retaliation","Action",122.51,5.8
"877","Wrath of the Titans","Action",83.64,5.8
"878","Shin Gojira","Action",1.91,6.9
"879","Saving Mr. Banks","Other",83.3,7.5
"880","Transcendence","Other",23.01,6.3
"881","Rio","Animation",143.62,6.9
"882","Equals","Other",0.03,6.1
"883","Babel","Other",34.3,7.5
"884","The Tree of Life","Other",13.3,6.8
"885","The Lucky One","Other",60.44,6.5
"886","Piranha 3D","Comedy",25,5.5
"887","50/50","Comedy",34.96,7.7
"888","The Intent","Crime",NA,3.5
"889","This Is 40","Comedy",67.52,6.2
"890","Real Steel","Action",85.46,7.1
"891","Sex and the City","Comedy",152.64,5.5
"892","Rambo","Action",42.72,7.1
"893","Planet Terror","Action",NA,7.1
"894","Concussion","Other",34.53,7.1
"895","The Fall","Adventure",2.28,7.9
"896","The Ugly Truth","Comedy",88.92,6.5
"897","Bride Wars","Comedy",58.72,5.5
"898","Sleeping with Other People","Comedy",0.81,6.5
"899","Snakes on a Plane","Action",34.01,5.6
"900","What If","Comedy",3.45,6.8
"901","How to Train Your Dragon 2","Animation",177,7.9
"902","RoboCop","Action",58.61,6.2
"903","In Dubious Battle","Other",NA,6.2
"904","Hello, My Name Is Doris","Comedy",14.44,6.7
"905","Ocean's Thirteen","Crime",117.14,6.9
"906","Slither","Comedy",7.77,6.5
"907","Contagion","Other",75.64,6.6
"908","Il racconto dei racconti - Tale of Tales","Other",0.08,6.4
"909","I Am the Pretty Thing That Lives in the House","Other",NA,4.7
"910","Bridge to Terabithia","Adventure",82.23,7.2
"911","Coherence","Other",0.07,7.2
"912","Notorious","Other",36.84,6.7
"913","Goksung","Other",0.79,7.5
"914","The Expendables 2","Action",85.02,6.6
"915","The Girl Next Door","Crime",NA,6.7
"916","Perfume: The Story of a Murderer","Crime",2.21,7.5
"917","The Golden Compass","Adventure",70.08,6.1
"918","Centurion","Action",0.12,6.4
"919","Scouts Guide to the Zombie Apocalypse","Action",3.64,6.3
"920","17 Again","Comedy",64.15,6.4
"921","No Escape","Action",27.29,6.8
"922","Superman Returns","Action",200.07,6.1
"923","The Twilight Saga: Breaking Dawn - Part 1","Adventure",281.28,4.9
"924","Precious","Other",47.54,7.3
"925","The Sea of Trees","Other",0.02,5.9
"926","Good Kids","Comedy",NA,6.1
"927","The Master","Other",16.38,7.1
"928","Footloose","Comedy",51.78,5.9
"929","If I Stay","Other",50.46,6.8
"930","The Ticket","Other",NA,5.4
"931","Detour","Other",NA,6.3
"932","The Love Witch","Comedy",0.22,6.2
"933","Talladega Nights: The Ballad of Ricky Bobby","Action",148.21,6.6
"934","The Human Centipede (First Sequence)","Horror",0.18,4.4
"935","Super","Comedy",0.32,6.8
"936","The Siege of Jadotville","Action",NA,7.3
"937","Up in the Air","Other",83.81,7.4
"938","The Midnight Meat Train","Horror",0.07,6.1
"939","The Twilight Saga: Eclipse","Adventure",300.52,4.9
"940","Transpecos","Other",NA,5.8
"941","What's Your Number?","Comedy",13.99,6.1
"942","Riddick","Action",42,6.4
"943","Triangle","Fantasy",NA,6.9
"944","The Butler","Other",116.63,7.2
"945","King Cobra","Crime",0.03,5.6
"946","After Earth","Action",60.52,4.9
"947","Kicks","Adventure",0.15,6.1
"948","Me and Earl and the Dying Girl","Comedy",6.74,7.8
"949","The Descendants","Comedy",82.62,7.3
"950","Sex and the City 2","Comedy",95.33,4.3
"951","The Kings of Summer","Adventure",1.29,7.2
"952","Death Race","Action",36.06,6.4
"953","That Awkward Moment","Comedy",26.05,6.2
"954","Legion","Action",40.17,5.2
"955","End of Watch","Crime",40.98,7.7
"956","3 Days to Kill","Action",30.69,6.2
"957","Lucky Number Slevin","Crime",22.49,7.8
"958","Trance","Crime",2.32,7
"959","Into the Forest","Other",0.01,5.9
"960","The Other Boleyn Girl","Other",26.81,6.7
"961","I Spit on Your Grave","Crime",0.09,6.3
"962","Custody","Other",NA,6.9
"963","Inland Empire","Other",NA,7
"964","L'odyssée","Adventure",NA,6.7
"965","The Walk","Adventure",10.14,7.3
"966","Wrecker","Action",NA,3.5
"967","The Lone Ranger","Action",89.29,6.5
"968","Texas Chainsaw 3D","Horror",34.33,4.8
"969","Disturbia","Other",80.05,6.9
"970","Rock of Ages","Comedy",38.51,5.9
"971","Scream 4","Horror",38.18,6.2
"972","Queen of Katwe","Other",8.81,7.4
"973","My Big Fat Greek Wedding 2","Comedy",59.57,6
"974","Dark Places","Other",NA,6.2
"975","Amateur Night","Comedy",NA,5
"976","It's Only the End of the World","Other",NA,7
"977","The Skin I Live In","Other",3.19,7.6
"978","Miracles from Heaven","Other",61.69,7
"979","Annie","Comedy",85.91,5.3
"980","Across the Universe","Other",24.34,7.4
"981","Let's Be Cops","Comedy",82.39,6.5
"982","Max","Adventure",42.65,6.8
"983","Your Highness","Adventure",21.56,5.6
"984","Final Destination 5","Horror",42.58,5.9
"985","Endless Love","Other",23.39,6.3
"986","Martyrs","Horror",NA,7.1
"987","Selma","Other",52.07,7.5
"988","Underworld: Rise of the Lycans","Action",45.8,6.6
"989","Taare Zameen Par","Other",1.2,8.5
"990","Take Me Home Tonight","Comedy",6.92,6.3
"991","Resident Evil: Afterlife","Action",60.13,5.9
"992","Project X","Comedy",54.72,6.7
"993","Secret in Their Eyes","Crime",NA,6.2
"994","Hostel: Part II","Horror",17.54,5.5
"995","Step Up 2: The Streets","Other",58.01,6.2
"996","Search Party","Adventure",NA,5.6
"997","Nine Lives","Comedy",19.64,5.3
